"Time Created","Screen Name","Follower Count","Full Text","Location","Hashtags","Mentions","Platform"
"Mon Apr 03 05:30:21 +0000 2017","tempkt","502","RT @RepSwalwell: ""Some outside things have happened."" 

Translation: the same interference that helped @realDonaldTrump is helping…","Ohio","[]","[u'Rep. Eric Swalwell', u'Donald J. Trump']","Android"
"Mon Apr 03 05:30:42 +0000 2017","da_thrill_16","245","#russianhacking #schiff #Russia #maga #Trumprussia https://t.co/KyScHYpCyq","rink, diner or walmart in TX","['russianhacking', 'schiff', 'Russia', 'maga', 'Trumprussia']","[]","iPhone"
"Mon Apr 03 05:30:46 +0000 2017","MyPrezTweets","647","RT @MyPrezTweets: ⚡️ “#RussianHacking my butt! PROOF HERE.” by @avanconia

https://t.co/evwDSvPZsh","Earth","['RussianHacking']","[u'#CNN = FakeNewz', u""MAGA.Wreck'nBall1861""]","Twitter Web Client"
"Mon Apr 03 05:30:54 +0000 2017","rodadams46","6255","#russianhacking Justify Royal #NATO #WW3 Keep Royals in Power 2 Cover Up Royal #PizzaGate #Christianity… https://t.co/B7XWvRgu3U","London","['russianhacking', 'NATO', 'WW3', 'PizzaGate', 'Christianity']","[]","Twitter Web Client"
"Mon Apr 03 05:31:33 +0000 2017","Lookupcolorado2","2000","RT @ConcernedHigh: .@ConcernedHigh 

YOU ARE A DISGRACE TO YOURSELF AND AMERICA.. https://t.co/hCR1BGxcID","Beautiful Colorado Rocky Mountains","[]","[u'HIGH HORSE Concerned', u'HIGH HORSE Concerned']","Android"
"Mon Apr 03 05:31:43 +0000 2017","BobbieSchaler","48","RT @RepMcGovern: The ""fake news media"" is ""pushing"" #RussianHacking story because all 17 intel agencies say IT HAPPENED. We need…","","['RussianHacking']","[u'Jim McGovern']","Android"
"Mon Apr 03 05:32:05 +0000 2017","rodadams46","6255","RT @rodadams46: #russianhacking Justify Royal #NATO #WW3 Keep Royals in Power 2 Cover Up Royal #PizzaGate #Christianity…","London","['russianhacking', 'NATO', 'WW3', 'PizzaGate', 'Christianity']","[u'rodney stewart adams']","Twitter Web Client"
"Mon Apr 03 05:32:12 +0000 2017","tjsavino","26196","RT @RepSwalwell: ""Some outside things have happened."" 

Translation: the same interference that helped @realDonaldTrump is helping…","Burbank, CA - USA","[]","[u'Rep. Eric Swalwell', u'Donald J. Trump']","Twitter Web Client"
"Tue Apr 04 05:17:22 +0000 2017","WandaKothlow","43","#Trumprussia 
#TrumpRussiaCollusion 
#russiagate 
#russianhacking https://t.co/F9zyd8sWPQ","","['Trumprussia', 'TrumpRussiaCollusion', 'russiagate', 'russianhacking']","[]","Android"
"Tue Apr 04 05:18:02 +0000 2017","Servelan","35","RT @RepSwalwell: ""Some outside things have happened."" 

Translation: the same interference that helped @realDonaldTrump is helping…","Earth","[]","[u'Rep. Eric Swalwell', u'Donald J. Trump']","Twitter Web Client"
